"","run","added_ref","min_length","min_logw","pred5_bm","herb5_bm","fpred_prod","fherb_prod","ftot_prod","tot5_bm"
"1",91,"5 cm","10 cm",1.4,28.9056921996015,10.4844684803951,17.7707101948352,0.345310914864253,18.1160211096995,39.3901606799966
"2",92,"10 cm","10 cm",1.4,28.866682312894,12.0970637369512,23.7156087769101,3.1064698452391,26.8220786221492,40.9637460498452
"3",93,"15 cm","10 cm",1.4,28.3979357494234,8.79502764425958,23.161000925977,2.34554887635694,25.5065498023339,37.192963393683
"4",94,"20 cm","10 cm",1.4,27.0810900887218,6.75857496394876,21.2806867548264,0.959519870932356,22.2402066257588,33.8396650526706
"5",95,"25 cm","10 cm",1.4,25.4265423897376,6.56012240527924,20.6478839229524,0.794519706804295,21.4424036297567,31.9866647950169
"6",96,"30 cm","10 cm",1.4,25.8808680023063,6.44854080516456,20.2721924125951,0.728803743163548,21.0009961557587,32.3294088074709
"7",97,"35 cm","10 cm",1.4,24.9465173756058,6.5763160967677,20.0234050454301,0.773579526305583,20.7969845717357,31.5228334723734
"8",98,"40 cm","10 cm",1.4,24.6288476167808,6.63861183348951,19.5584184897155,0.793189584242408,20.3516080739579,31.2674594502703
"9",99,"45 cm","10 cm",1.4,24.2726569491902,6.70562180881046,19.8077736119343,0.830542089786529,20.6383157017208,30.9782787580007
"10",100,"50 cm","10 cm",1.4,24.4414089122047,6.75306987682834,18.2854778274363,0.815310271889348,19.1007880993256,31.1944787890331
"11",91,"5 cm","13 cm",1.7,28.9056921996015,10.4844684803951,14.6910367741826,0.200143771479083,14.8911805456617,39.3901606799966
"12",92,"10 cm","13 cm",1.7,28.866682312894,12.0970637369512,19.7507682749857,1.95412495151597,21.7048932265016,40.9637460498452
"13",93,"15 cm","13 cm",1.7,28.3979357494234,8.79502764425958,20.4592522870405,2.06956776586724,22.5288200529077,37.192963393683
"14",94,"20 cm","13 cm",1.7,27.0810900887218,6.75857496394876,18.4111631160402,0.751336039996811,19.162499156037,33.8396650526706
"15",95,"25 cm","13 cm",1.7,25.4265423897376,6.56012240527924,17.5938996056733,0.555935507422116,18.1498351130954,31.9866647950169
"16",96,"30 cm","13 cm",1.7,25.8808680023063,6.44854080516456,17.1512058631623,0.496890713420393,17.6480965765827,32.3294088074709
"17",97,"35 cm","13 cm",1.7,24.9465173756058,6.5763160967677,16.9014771969283,0.523316211410213,17.4247934083385,31.5228334723734
"18",98,"40 cm","13 cm",1.7,24.6288476167808,6.63861183348951,16.4996703917248,0.536543486033216,17.036213877758,31.2674594502703
"19",99,"45 cm","13 cm",1.7,24.2726569491902,6.70562180881046,16.8118462868957,0.567488328648813,17.3793346155445,30.9782787580007
"20",100,"50 cm","13 cm",1.7,24.4414089122047,6.75306987682834,15.6480190947405,0.550405352772698,16.1984244475132,31.1944787890331
"21",91,"5 cm","15 cm",1.9,28.9056921996015,10.4844684803951,13.8692797789696,0.0980190497660646,13.9672988287357,39.3901606799966
"22",92,"10 cm","15 cm",1.9,28.866682312894,12.0970637369512,18.3639721251033,1.10274953316699,19.4667216582703,40.9637460498452
"23",93,"15 cm","15 cm",1.9,28.3979357494234,8.79502764425958,20.3432331506275,1.60995253327754,21.9531856839051,37.192963393683
"24",94,"20 cm","15 cm",1.9,27.0810900887218,6.75857496394876,19.2962735069091,0.633789866571691,19.9300633734808,33.8396650526706
"25",95,"25 cm","15 cm",1.9,25.4265423897376,6.56012240527924,18.2182356384521,0.380951233031779,18.5991868714839,31.9866647950169
"26",96,"30 cm","15 cm",1.9,25.8808680023063,6.44854080516456,17.8797074105291,0.330453016222707,18.2101604267518,32.3294088074709
"27",97,"35 cm","15 cm",1.9,24.9465173756058,6.5763160967677,17.4641593895936,0.329811869007447,17.7939712586011,31.5228334723734
"28",98,"40 cm","15 cm",1.9,24.6288476167808,6.63861183348951,16.9712380882184,0.333925197790474,17.3051632860089,31.2674594502703
"29",99,"45 cm","15 cm",1.9,24.2726569491902,6.70562180881046,17.1633430897213,0.354619856469984,17.5179629461913,30.9782787580007
"30",100,"50 cm","15 cm",1.9,24.4414089122047,6.75306987682834,15.6819591419093,0.332983232795023,16.0149423747043,31.1944787890331
"31",91,"5 cm","17 cm",2.1,28.9056921996015,10.4844684803951,12.5032061264121,0.0643450828609278,12.5675512092731,39.3901606799966
"32",92,"10 cm","17 cm",2.1,28.866682312894,12.0970637369512,16.3964141627947,0.785410458799337,17.1818246215941,40.9637460498452
"33",93,"15 cm","17 cm",2.1,28.3979357494234,8.79502764425958,18.2810298554032,1.163760316188,19.4447901715912,37.192963393683
"34",94,"20 cm","17 cm",2.1,27.0810900887218,6.75857496394876,18.3754195928129,0.566486499198226,18.9419060920111,33.8396650526706
"35",95,"25 cm","17 cm",2.1,25.4265423897376,6.56012240527924,17.1441249397749,0.305992622920045,17.450117562695,31.9866647950169
"36",96,"30 cm","17 cm",2.1,25.8808680023063,6.44854080516456,16.8364074639788,0.260796025991127,17.0972034899699,32.3294088074709
"37",97,"35 cm","17 cm",2.1,24.9465173756058,6.5763160967677,16.3160223856499,0.248155526928823,16.5641779125787,31.5228334723734
"38",98,"40 cm","17 cm",2.1,24.6288476167808,6.63861183348951,15.8026784634428,0.248122270821818,16.0508007342646,31.2674594502703
"39",99,"45 cm","17 cm",2.1,24.2726569491902,6.70562180881046,15.9545819708295,0.263378429989569,16.2179604008191,30.9782787580007
"40",100,"50 cm","17 cm",2.1,24.4414089122047,6.75306987682834,14.5036423468684,0.242343282119563,14.7459856289879,31.1944787890331
"41",91,"5 cm","19 cm",2.2,28.9056921996015,10.4844684803951,11.0889603734336,0.0622491951697961,11.1512095686034,39.3901606799966
"42",92,"10 cm","19 cm",2.2,28.866682312894,12.0970637369512,14.6500680643773,0.747432367931187,15.3975004323085,40.9637460498452
"43",93,"15 cm","19 cm",2.2,28.3979357494234,8.79502764425958,16.3576187925543,1.10306930255525,17.4606880951096,37.192963393683
"44",94,"20 cm","19 cm",2.2,27.0810900887218,6.75857496394876,16.2855901313119,0.5348799466423,16.8204700779542,33.8396650526706
"45",95,"25 cm","19 cm",2.2,25.4265423897376,6.56012240527924,15.0208835827992,0.287063629394501,15.3079472121937,31.9866647950169
"46",96,"30 cm","19 cm",2.2,25.8808680023063,6.44854080516456,14.6371409669247,0.242494855345459,14.8796358222702,32.3294088074709
"47",97,"35 cm","19 cm",2.2,24.9465173756058,6.5763160967677,14.1682126431467,0.23239423837128,14.400606881518,31.5228334723734
"48",98,"40 cm","19 cm",2.2,24.6288476167808,6.63861183348951,13.7258386127308,0.233074536606174,13.958913149337,31.2674594502703
"49",99,"45 cm","19 cm",2.2,24.2726569491902,6.70562180881046,13.9571982337291,0.248873935536168,14.2060721692653,30.9782787580007
"50",100,"50 cm","19 cm",2.2,24.4414089122047,6.75306987682834,12.8529097277818,0.230418452029222,13.0833281798111,31.1944787890331
"51",91,"5 cm","20 cm",2.3,28.9056921996015,10.4844684803951,11.1932689804426,0.0442155687630454,11.2374845492057,39.3901606799966
"52",92,"10 cm","20 cm",2.3,28.866682312894,12.0970637369512,14.5066339157262,0.580679181366957,15.0873130970932,40.9637460498452
"53",93,"15 cm","20 cm",2.3,28.3979357494234,8.79502764425958,16.2384951953018,0.870801078831801,17.1092962741336,37.192963393683
"54",94,"20 cm","20 cm",2.3,27.0810900887218,6.75857496394876,16.9573859167257,0.470717810304753,17.4281037270305,33.8396650526706
"55",95,"25 cm","20 cm",2.3,25.4265423897376,6.56012240527924,16.0002146256256,0.2556074138576,16.2558220394832,31.9866647950169
"56",96,"30 cm","20 cm",2.3,25.8808680023063,6.44854080516456,15.7350383542373,0.214920945923098,15.9499593001604,32.3294088074709
"57",97,"35 cm","20 cm",2.3,24.9465173756058,6.5763160967677,15.0821008174084,0.192964658941657,15.27506547635,31.5228334723734
"58",98,"40 cm","20 cm",2.3,24.6288476167808,6.63861183348951,14.541350651062,0.189689963051811,14.7310406141138,31.2674594502703
"59",99,"45 cm","20 cm",2.3,24.2726569491902,6.70562180881046,14.6398991160506,0.200345698125329,14.8402448141759,30.9782787580007
"60",100,"50 cm","20 cm",2.3,24.4414089122047,6.75306987682834,13.2317893257914,0.180714868644597,13.412504194436,31.1944787890331
"61",91,"5 cm","22 cm",2.4,28.9056921996015,10.4844684803951,10.5466955462865,0.0371519617592943,10.5838475080458,39.3901606799966
"62",92,"10 cm","22 cm",2.4,28.866682312894,12.0970637369512,13.5823818345404,0.504433838586208,14.0868156731266,40.9637460498452
"63",93,"15 cm","22 cm",2.4,28.3979357494234,8.79502764425958,15.2191423009123,0.760450085226528,15.9795923861389,37.192963393683
"64",94,"20 cm","22 cm",2.4,27.0810900887218,6.75857496394876,15.9865648975212,0.409086864511181,16.3956517620324,33.8396650526706
"65",95,"25 cm","22 cm",2.4,25.4265423897376,6.56012240527924,15.3979592130495,0.236436196337667,15.6343954093872,31.9866647950169
"66",96,"30 cm","22 cm",2.4,25.8808680023063,6.44854080516456,15.1591284969161,0.197741840936649,15.3568703378528,32.3294088074709
"67",97,"35 cm","22 cm",2.4,24.9465173756058,6.5763160967677,14.427816198303,0.171893533528707,14.5997097318317,31.5228334723734
"68",98,"40 cm","22 cm",2.4,24.6288476167808,6.63861183348951,13.8702519774928,0.167257829211833,14.0375098067046,31.2674594502703
"69",99,"45 cm","22 cm",2.4,24.2726569491902,6.70562180881046,13.9362782096756,0.175879194141223,14.1121574038168,30.9782787580007
"70",100,"50 cm","22 cm",2.4,24.4414089122047,6.75306987682834,12.5554367819426,0.157130649544859,12.7125674314874,31.1944787890331
"71",91,"5 cm","25 cm",2.6,28.9056921996015,10.4844684803951,9.24225240361359,0.0266605354199386,9.26891293903353,39.3901606799966
"72",92,"10 cm","25 cm",2.6,28.866682312894,12.0970637369512,11.7510313182153,0.384622204591365,12.1356535228066,40.9637460498452
"73",93,"15 cm","25 cm",2.6,28.3979357494234,8.79502764425958,13.1673786706401,0.585421096692814,13.7527997673329,37.192963393683
"74",94,"20 cm","25 cm",2.6,27.0810900887218,6.75857496394876,13.9788203422493,0.312136487444283,14.2909568296936,33.8396650526706
"75",95,"25 cm","25 cm",2.6,25.4265423897376,6.56012240527924,13.7371514280128,0.187362187993195,13.924513616006,31.9866647950169
"76",96,"30 cm","25 cm",2.6,25.8808680023063,6.44854080516456,13.9470338730733,0.170831895791991,14.1178657688653,32.3294088074709
"77",97,"35 cm","25 cm",2.6,24.9465173756058,6.5763160967677,13.0302143296851,0.138306419701581,13.1685207493867,31.5228334723734
"78",98,"40 cm","25 cm",2.6,24.6288476167808,6.63861183348951,12.4314774629572,0.13132536638966,12.5628028293468,31.2674594502703
"79",99,"45 cm","25 cm",2.6,24.2726569491902,6.70562180881046,12.418358503123,0.136284008220066,12.5546425113431,30.9782787580007
"80",100,"50 cm","25 cm",2.6,24.4414089122047,6.75306987682834,11.1068691730244,0.11952829167373,11.2263974646981,31.1944787890331
