"","run","ambient_reef","comp_group","added_ref","based_on","end_length","pred5_bm","herb5_bm","fpred_prod","fherb_prod","ftot_prod","tot5_bm"
"1",1,"bare",1,10,"bare",5,24.3253410975779,6.8489215980013,22.4669389204808,1.66145922441836,24.1283981448992,31.1742626955792
"2",2,"bare",1,10,"bare",10,24.4904781358467,6.97944569545471,22.7006928129799,1.93154105017371,24.6322338631536,31.4699238313015
"3",3,"bare",1,10,"bare",15,24.4514704008477,6.77163853163433,22.5602904285039,1.76186183392671,24.3221522624306,31.223108932482
"4",4,"bare",1,10,"bare",20,24.3569106176863,6.70365370793151,22.4719812683788,1.71152854546982,24.1835098138486,31.0605643256178
"5",5,"bare",1,10,"bare",25,24.2421333356742,6.70259067704209,22.4485804896684,1.71360588030832,24.1621863699767,30.9447240127163
"6",6,"bare",1,10,"bare",30,24.2677512433547,6.69625003596397,22.4145084727843,1.7089067415977,24.123415214382,30.9640012793187
"7",7,"bare",1,10,"bare",35,24.2023167725933,6.70559841266044,22.4033995755983,1.71596949433811,24.1193690699364,30.9079151852537
"8",8,"bare",1,10,"bare",40,24.1786896062841,6.71005843590193,22.3681369771063,1.71864267090899,24.0867796480153,30.888748042186
"9",9,"bare",1,10,"bare",45,24.153735821677,6.71427538558532,22.3936633844169,1.72208743645906,24.1157508208759,30.8680112072623
"10",10,"bare",1,10,"bare",50,24.1642304342611,6.71838556147355,22.2581398680159,1.72258913102206,23.980728999038,30.8826159957346
"11",11,"bare",1,20,"bare",5,24.5249783255153,7.00639342616776,22.4696263777103,1.59711058870751,24.0667369664179,31.5313717516831
"12",12,"bare",1,20,"bare",10,24.8553226767877,7.28347365963398,22.9705978848352,2.16852546549587,25.139123350331,32.1387963364216
"13",13,"bare",1,20,"bare",15,24.7772601579072,6.84609658790224,22.670715041839,1.80867554746356,24.4793905893025,31.6233567458094
"14",14,"bare",1,20,"bare",20,24.5825893411523,6.69431732825921,22.4856757931309,1.6999122950755,24.1855880882064,31.2769066694115
"15",15,"bare",1,20,"bare",25,24.3451891009449,6.68992871954291,22.436187657382,1.70329879808336,24.1394864554654,31.0351178204878
"16",16,"bare",1,20,"bare",30,24.399320825382,6.67652592245656,22.3671969563919,1.69351346144625,24.0607104178381,31.0758467478386
"17",17,"bare",1,20,"bare",35,24.2640222622879,6.69575682856256,22.3437362020331,1.70797825908504,24.0517144611181,30.9597790908504
"18",18,"bare",1,20,"bare",40,24.2153943501474,6.70497133087757,22.2713059929033,1.71346758771111,23.9847735806145,30.920365681025
"19",19,"bare",1,20,"bare",45,24.1637635436312,6.71381182726446,22.3227163065823,1.72058156144128,24.0432978680236,30.8775753708957
"20",20,"bare",1,20,"bare",50,24.185773751387,6.72216304453644,22.0480201169376,1.72156675319546,23.7695868701331,30.9079367959235
"21",21,"bare",1,30,"bare",5,24.7473095322805,7.19213018923673,22.4673699286409,1.53045529650744,23.9978252251484,31.9394397215173
"22",22,"bare",1,30,"bare",10,25.2408706625094,7.63289974493989,23.2756615303839,2.43839800645109,25.714059536835,32.8737704074493
"23",23,"bare",1,30,"bare",15,25.1236761100985,6.94190469405575,22.7940596582287,1.86570174810353,24.6597614063323,32.0655808041543
"24",24,"bare",1,30,"bare",20,24.8226859614539,6.68704527220225,22.5025627055465,1.6887952890659,24.1913579946124,31.5097312336562
"25",25,"bare",1,30,"bare",25,24.4539065726639,6.67661731941804,22.4239209169897,1.69255121267503,24.1164721296647,31.1305238920819
"26",26,"bare",1,30,"bare",30,24.5398466587768,6.65533454605684,22.3191607123161,1.67724917153433,23.9964098838504,31.1951812048337
"27",27,"bare",1,30,"bare",35,24.3297645832242,6.68504485450107,22.2819682751072,1.69948477679608,23.9814530519033,31.0148094377253
"28",28,"bare",1,30,"bare",40,24.2546356948103,6.69933749949659,22.1703188948402,1.7079454043038,23.878264299144,30.9539731943069
"29",29,"bare",1,30,"bare",45,24.1744218156058,6.71325102046195,22.2479351037909,1.71897428352081,23.9669093873117,30.8876728360678
"30",30,"bare",1,30,"bare",50,24.2090823970653,6.72597837638319,21.8302892079696,1.72042016521382,23.5507093731835,30.9350607734485
"31",31,"bare",1,40,"bare",5,24.9981468370562,7.41282685624944,22.4574442593602,1.46156404018996,23.9190082995501,32.4109736933056
"32",32,"bare",1,40,"bare",10,25.6496469466248,8.03481463648494,23.6217704352763,2.7454374714854,26.3672079067617,33.6844615831097
"33",33,"bare",1,40,"bare",15,25.4930834211857,7.06385038688216,22.9324203687838,1.93509744144213,24.8675178102259,32.5569338080678
"34",34,"bare",1,40,"bare",20,25.0787760138244,6.68234009703742,22.523150570645,1.67835967531542,24.2015102459604,31.7611161108618
"35",35,"bare",1,40,"bare",25,24.5687959275861,6.66260444602366,22.4118362339144,1.68133298770684,24.0931692216213,31.2314003736098
"36",36,"bare",1,40,"bare",30,24.6903080437716,6.6325123204307,22.2704581891304,1.66003400392728,23.9304921930577,31.3228203642023
"37",37,"bare",1,40,"bare",35,24.3999550582659,6.67337156581602,22.2179977516662,1.69044243404153,23.9084401857077,31.0733266240819
"38",38,"bare",1,40,"bare",40,24.2966817127729,6.69309888709422,22.0649166203045,1.70204309303323,23.7669597133377,30.9897805998672
"39",39,"bare",1,40,"bare",45,24.1857692153651,6.71258322257073,22.1690159962731,1.71725653496667,23.8862725312397,30.8983524379358
"40",40,"bare",1,40,"bare",50,24.234344704593,6.72982594338396,21.604511112413,1.71913485731109,23.3236459697241,30.964170647977
"41",41,"bare",1,40,"bare",5,25.2861910427889,7.67762020110286,22.435496392508,1.39063913098728,23.8261355234953,32.9638112438917
"42",42,"bare",1,50,"bare",10,26.0848321044625,8.49734757183899,24.0160731753232,3.09417766186837,27.1102508371915,34.5821796763015
"43",43,"bare",1,50,"bare",15,25.8882774224742,7.21784826360616,23.0883530348087,2.01950678475211,25.1078598195608,33.1061256860803
"44",44,"bare",1,50,"bare",20,25.3526928155429,6.68083169163329,22.5480501711763,1.66883715208301,24.2168873232593,32.0335245071762
"45",45,"bare",1,50,"bare",25,24.6904343713276,6.64783272881193,22.4000004692085,1.66961116624069,24.0696116354492,31.3382671001395
"46",46,"bare",1,50,"bare",30,24.8518377156502,6.60787207375866,22.2211675644965,1.64177782253396,23.8629453870304,31.4597097894089
"47",47,"bare",1,50,"bare",35,24.4750633976689,6.66063439862457,22.1517228628136,1.68079880002377,23.8325216628373,31.1356977962935
"48",48,"bare",1,50,"bare",40,24.3418393424318,6.68619003184492,21.9548201869882,1.69572343685903,23.6505436238473,31.0280293742767
"49",49,"bare",1,50,"bare",45,24.1978714626805,6.71179757199603,22.0856242738005,1.71541821322764,23.8010424870281,30.9096690346765
"50",50,"bare",1,50,"bare",50,24.261774912485,6.73369882389536,21.3702143812195,1.71769428623982,23.0879086674593,30.9954737363803
"51",51,"bare",1,60,"bare",5,25.6255018857888,7.99947590931644,22.3943987884375,1.31813784335406,23.7125366317915,33.6249777951052
"52",52,"bare",1,60,"bare",10,26.5505375882051,9.02979369800891,24.4673612073263,3.48926720725757,27.9566284145839,35.580331286214
"53",53,"bare",1,60,"bare",15,26.3125984274093,7.41121179544554,23.2650027646952,2.12217016248692,25.3871729271821,33.7238102228549
"54",54,"bare",1,60,"bare",20,25.64658628344,6.68331613885196,22.5780012503717,1.66052438011209,24.2385256304837,32.329902422292
"55",55,"bare",1,60,"bare",25,24.819478163454,6.63223881757231,22.3884937274051,1.65734964357629,24.0458433709814,31.4517169810263
"56",56,"bare",1,60,"bare",30,25.0257543222181,6.58119865940172,22.1713920114962,1.62237845457017,23.7937704660663,31.6069529816198
"57",57,"bare",1,60,"bare",35,24.5556285850618,6.6467172892793,22.0830385413908,1.67049468457704,23.7535332259678,31.2023458743411
"58",58,"bare",1,60,"bare",40,24.3904616848067,6.67853688607306,21.839729161914,1.68894434246155,23.5286735043755,31.0689985708797
"59",59,"bare",1,60,"bare",45,24.2108024861159,6.71088193646845,21.9973905941735,1.7134480383611,23.7108386325346,30.9216844225843
"60",60,"bare",1,60,"bare",50,24.2916176396218,6.73758852230225,21.1268882850892,1.71607952715406,22.8429678122432,31.029206161924
"61",61,"bare",1,70,"bare",5,26.0412615015994,8.39770261294716,22.3221852174879,1.2450354657167,23.5672206832046,34.4389641145466
"62",62,"bare",1,70,"bare",10,27.0522349243389,9.64277061174984,24.9866342885685,3.9352465488138,28.9218808373823,36.6950055360887
"63",63,"bare",1,70,"bare",15,26.7700891295016,7.65299012342393,23.4662797440221,2.24705392423631,25.7133336682584,34.4230792529255
"64",64,"bare",1,70,"bare",20,25.9629996460876,6.6908089976016,22.6139082188368,1.65380414001938,24.2677123588562,32.6538086436892
"65",65,"bare",1,70,"bare",25,24.9566774636529,6.61575266435501,22.3774123156618,1.64450879818113,24.0219211138429,31.5724301280079
"66",66,"bare",1,70,"bare",30,25.213603863459,6.55224348836636,22.1212665714811,1.60171951628121,23.7229860877623,31.7658473518254
"67",67,"bare",1,70,"bare",35,24.6422723357912,6.6314884376971,22.0118370968055,1.65946300169448,23.6713000985,31.2737607734883
"68",68,"bare",1,70,"bare",40,24.4429570126804,6.67005540184993,21.7193201067216,1.68165801091559,23.4009781176372,31.1130124145303
"69",69,"bare",1,70,"bare",45,24.2246456757019,6.70982273785941,21.9039068075625,1.71133338795935,23.6152401955219,30.9344684135613
"70",70,"bare",1,70,"bare",50,24.3241533075166,6.74148464246854,20.8739784116063,1.7142688532333,22.5882472648396,31.0656379499851
"71",71,"bare",1,80,"bare",5,26.5853725768822,8.90282922701065,22.1984210200012,1.17345247745822,23.3718734974594,35.4882018038928
"72",72,"bare",1,80,"bare",10,27.5974484666553,10.3484436005119,25.5879868828711,4.43621834940037,30.0242052322715,37.9458920671672
"73",73,"bare",1,80,"bare",15,27.2657157305401,7.95438839899325,23.6971033451584,2.39900310293454,26.096106448093,35.2201041295333
"74",74,"bare",1,80,"bare",20,26.3049710881859,6.70461947212946,22.656888603034,1.64917481196331,24.3060634149974,33.0095905603153
"75",75,"bare",1,80,"bare",25,25.1028948378636,6.59829672236679,22.3668725086941,1.6310450766849,23.997917585379,31.7011915602304
"76",76,"bare",1,80,"bare",30,25.4172132400368,6.52071763168015,22.0709672283869,1.57966770891353,23.6506349373004,31.937930871717
"77",77,"bare",1,80,"bare",35,24.7357158803013,6.61479759772902,21.9380092306698,1.64762738797403,23.5856366186438,31.3505134780303
"78",78,"bare",1,80,"bare",40,24.4997999830302,6.66064982180095,21.5932450514041,1.67380992922287,23.2670549806269,31.1604498048312
"79",79,"bare",1,80,"bare",45,24.2394953577537,6.70860474954296,21.8047212526818,1.70906010573226,23.5137813584141,30.9481001072967
"80",80,"bare",1,80,"bare",50,24.3597047498807,6.74537448434513,20.6108816250448,1.71223722508739,22.3231188501322,31.1050792342259
"81",81,"bare",1,90,"bare",5,27.3884292936127,9.56678997883756,21.9891706012419,1.10845941697677,23.0976300182186,36.9552192724502
"82",82,"bare",1,90,"bare",10,28.196921113786,11.1609194263097,26.2900878774223,4.99539149890752,31.2854793763298,39.3578405400957
"83",83,"bare",1,90,"bare",15,27.8056876517644,8.3293026035466,23.9637507184093,2.58392033466125,26.5476710530706,36.134990255311
"84",84,"bare",1,90,"bare",20,26.6761708645283,6.72645542711295,22.7083399846732,1.64729214199426,24.3556321266675,33.4026262916413
"85",85,"bare",1,90,"bare",25,25.259128572184,6.57978506114551,22.3570153891569,1.61691052986017,23.9739259190171,31.8389136333295
"86",86,"bare",1,90,"bare",30,25.6387604378003,6.4862829909876,22.0207230496674,1.55606941102491,23.5767924606923,32.1250434287879
"87",87,"bare",1,90,"bare",35,24.8368010936053,6.59647276609288,21.8614455229673,1.63490050893767,23.496346031905,31.4332738596981
"88",88,"bare",1,90,"bare",40,24.5615457128183,6.65021059763985,21.4611300779269,1.66533763440479,23.1264677123317,31.2117563104582
"89",89,"bare",1,90,"bare",45,24.2554585356076,6.70721086165079,21.6993334698202,1.70661227925102,23.4059457490712,30.9626693972584
"90",90,"bare",1,90,"bare",50,24.398645321198,6.74924254232697,20.3369402754713,1.70995566672115,22.0468959421924,31.147887863525
"91",91,"bare",1,100,"bare",5,28.9056921996015,10.4844684803951,21.6575705370209,1.06548650258184,22.7230570396028,39.3901606799966
"92",92,"bare",1,100,"bare",10,28.866682312894,12.0970637369512,27.1188361023359,5.61449850791953,32.7333346102554,40.9637460498452
"93",93,"bare",1,100,"bare",15,28.3979357494234,8.79502764425958,24.2743729227091,2.8089779673519,27.083350890061,37.192963393683
"94",94,"bare",1,100,"bare",20,27.0810900887218,6.75857496394876,22.7700344150027,1.64902954254783,24.4190639575505,33.8396650526706
"95",95,"bare",1,100,"bare",25,25.4265423897376,6.56012240527924,22.3480131432421,1.60205229884829,23.9500654420904,31.9866647950169
"96",96,"bare",1,100,"bare",30,25.8808680023063,6.44854080516456,21.9708326792065,1.53074631753308,23.5015789967396,32.3294088074709
"97",97,"bare",1,100,"bare",35,24.9465173756058,6.5763160967677,21.7820385705254,1.62118196315097,23.4032205336764,31.5228334723734
"98",98,"bare",1,100,"bare",40,24.6288476167808,6.63861183348951,21.3225741384683,1.65616918582503,22.9787433242933,31.2674594502703
"99",99,"bare",1,100,"bare",45,24.2726569491902,6.70562180881046,21.5871882779605,1.70397198163268,23.2911602595932,30.9782787580007
"100",100,"bare",1,100,"bare",50,24.4414089122047,6.75306987682834,20.0514355208098,1.70739049776936,21.7588260185791,31.1944787890331
